Location,Site,Depth,Abudefduf vaigiensis,Acanthochromis polyacanthus,Acanthurus auranticavus,Acanthurus dussumieri,Acanthurus japonicus,Acanthurus nigrofuscus,Acanthurus olivaceus,Acanthurus pyroferus,Acanthurus sp.,Acanthurus thompsoni,Amanses scopas,Amblyglyphidodon aureus,Amblyglyphidodon curacao,Amblyglyphidodon leucogaster,Amphiprion clarkii,Amphiprion frenatus,Anampses meleagrides,Apolemichthys trimaculatus,Arothron nigropunctatus,Arothron stellatus,Balistapus undulatus,Balistoides conspicillum,Balistoides viridescens,Bodianus diana,Bodianus mesothorax,Caesio caerulaurea,Caesio cuning,Caesio lunaris,Caesio teres,Calotomus carolinus,Cantherhines pardalis,Canthigaster valentini,Carangoides sp.,Caranx ignobilis,Caranx lugubris,Caranx melampygus,Caranx sexfasciatus,Centropyge bicolor,Centropyge bispinosus,Centropyge flavissimus,Centropyge heraldi,Centropyge vroliki,Cephalopholis argus,Cephalopholis boenak,Cephalopholis urodeta,Chaetodon adiergastos,Chaetodon auriga,Chaetodon baronessa,Chaetodon burgessi,Chaetodon citrinellus,Chaetodon kleinii,Chaetodon lunula,Chaetodon lunulatus,Chaetodon melannotus,Chaetodon ornatissimus,Chaetodon punctatofasciatus,Chaetodon rafflesi,Chaetodon speculum,Chaetodon trifascialis,Chaetodon ulietensis,Chaetodon unimaculatus,Chaetodon vagabundus,Chaetodon xanthurus,Chaetodontoplus melanosoma,Cheilinus chlorourus,Cheilinus fasciatus,Cheilinus oxycephalus,Cheilinus trilobatus,Cheilinus undulatus,Chlorurus bleekeri,Chlorurus microrhinos,Chlorurus sordidus,Chromis alpha,Chromis amboinensis,Chromis analis,Chromis atripes,Chromis flavipectoralis,Chromis margaritifer,Chromis retrofasciata,Chromis ternatensis,Chromis viridis,Chromis weberi,Chromis xanthura,Chrysiptera rex,Chrysiptera rollandi,Chrysiptera talboti,Cirrhilabrus cyanopleura,Cirrhitichthys falco,Coradion melanopus,Coris aygula,Coris batuensis,Ctenochaetus binotatus,Ctenochaetus striatus,Dascyllus reticulatus,Dascyllus trimaculatus,Epibulus insidiator,Epinephelus fasciatus,Epinephelus merra,Epinephelus sexfasciatus,Forcipiger flavissimus,Forcipiger longirostris,Genicanthus lamarck,Gnathodentex aureolineatus,Gomphosus varius,Gracila albomarginata,Gymnosarda unicolor,Halichoeres chrysus,Halichoeres hortulanus,Halichoeres melanochir,Halichoeres melanurus,Halichoeres nigrescens,Halichoeres prosopeion,Halichoeres sp.,Haplolatilus starcki,Hemigymnus fasciatus,Hemigymnus melapterus,Hemitaurichthys polylepis,Heniochus acuminatus,Heniochus chrysostomus,Heniochus monoceros,Heniochus singularius,Heniochus varius,Hipposcarus longiceps,Labrichthys unilineatus,Labroides bicolor,Labroides dimidiatus,Lethrinus sp.,Lutjanus bohar,Lutjanus decussatus,Lutjanus kasmira,Lutjanus lutjanus,Lutjanus russellii,Lutjanus sp.,Macolor macularis,Macolor niger,Macropharyngodon meleagris,Melichthys vidua,Monotaxis grandoculis,Myripristis berndti,Myripristis botche,Myripristis hexagona,Myripristis murdjan,Myripristis sp.,Myripristis sp?,Myripristis violacea,Naso brevirostris,Naso caeruleacauda,Naso hexacanthus,Naso lituratus,Naso vlamingii,Nemateleotris magnifica,Neoglyphidodon melas,Neoglyphidodon nigroris,Neoglyphidodon thoracotaeniatus,Neopomacentrus anabatoides,Neopomacentrus azysron,Odonus niger,Oxycheilinus digramma,Oxycheilinus unifasciatus,Paracaesio xanthura,Paracirrhites arcatus,Parapercis cylindrica,Parupeneus barberinus,Parupeneus bifasciatus,Parupeneus cyclostomus,Parupeneus multifasciatus,Parupeneus trifasciatus,Pentapodus bifasciatus,Pentapodus paradiseus,Pentapodus sp.,Pinjalo lewisi,Plectorhinchus lineatus,Plectroglyphidodon dickii,Plectroglyphidodon lacrymatus,Plectropomus leopardus,Pomacanthus imperator,Pomacanthus semicircularis,Pomacanthus sp.,Pomacentrus alexanderae,Pomacentrus amboinensis,Pomacentrus armillatus,Pomacentrus auriventris,Pomacentrus brachialis,Pomacentrus coelestis,Pomacentrus lepidogenys,Pomacentrus moluccensis,Pomacentrus nigromanus,Pomacentrus nigromarginatus,Pomacentrus philippinus,Pomacentrus reidi,Pomacentrus sp.,Pomacentrus stigma,Pomacentrus vaiuli,Pseudanthias dispar,Pseudanthias huchtii,Pseudanthias pleurotaenia,Pseudanthias sp.,Pseudanthias squamipinnis,Pseudanthias tuka,Pseudocheilinus evanidus,Pseudocheilinus hexataenia,Pseudocheilinus octotaenia,Ptereleotris evides,Pterocaesio digramma,Pterocaesio pisang,Pterocaesio tile,Pygoplites diacanthus,Sargocentron caudimaculatum,Sargocentron melanospilos,Sargocentron sp.,Scarus chameleon,Scarus forsteni,Scarus ghobban,Scarus globiceps,Scarus hypselopterus,Scarus niger,Scarus oviceps,Scarus quoyi,Scarus schlegeli,Scarus sp.,Scolopsis bilineata,Scolopsis ciliatus,Scolopsis margaritifer,Scolopsis trilineata,Siganus guttatus,Siganus spinus,Siganus vulpinus,Sphyraena barracuda,Sphyraena qenie,Stethojulis bandanensis,Sufflamen bursa,Sufflamen chrysopterus,Synodus variegatus,Thalassoma amblycephalum,Thalassoma hardwicke,Thalassoma jansenii,Thalassoma lunare,Xanthichthys auromarginatus,Zanclus cornutus,Zebrasoma scopas,Zebrasoma veliferum
ADI,ADI-B2,10 m,0,0,0,0,0,0,0,0,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,42,0,0,0,0,0,0,12,4,12,0,0,0,0,0,0,0,0,0,0,0,0,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ADI,ADI-B4,20 m,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0
ADI,ADI-C3,20 m,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ADI,ADI-D1,30 m,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,41,0,0,0,22,0,0,0,0,0,0,0,0,61,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0
ADI,ADI-D4,30 m,0,0,86,0,0,0,0,0,4,0,0,137,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,7,0,0,0,73,0,0,0,0,0,0,0,0,20,0,4,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP,Aladin,20 m,65,45,0,0,8,0,0,8,0,8,0,0,20,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,16,0,10,0,0,16,8,16,16,0,0,16,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8,0,80,0,0,0,42,8,76,103,0,26,0,0,8,187,0,0,0,0,0,10,86,8,0,0,0,0,0,16,0,0,9,0,0,0,0,0,0,0,96,0,0,8,0,0,0,0,0,16,0,0,0,0,24,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,24,0,8,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,24,0,0,34,0,16,10,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,28,0,0,0,8,0,0,0,0,8,0,8,8,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,131,9,0,19,0,11,13,12
AP,Aladin,30 m,0,0,0,0,0,0,0,0,0,89,0,16,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,11,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,20,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
AP,Apo29,30 m,0,0,0,0,0,0,0,4,0,110,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,24,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,800,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
AP,Bajora5,30 m,0,8,0,0,0,0,0,0,0,51,0,11,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,8,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
AP,Ego,20 m,48,16,0,0,10,8,0,0,0,0,16,0,32,0,0,0,0,0,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,9,8,8,8,8,0,10,0,0,8,0,16,0,10,0,0,0,0,8,0,16,0,0,0,0,0,0,8,16,0,8,0,0,24,0,0,153,8,56,0,0,80,0,0,0,44,0,0,0,0,11,19,0,27,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,16,0,8,0,11,0,0,0,0,0,0,0,0,0,0,10,0,24,0,0,0,0,0,0,13,0,0,15,0,0,0,0,0,24,0,16,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,80,0,0,0,240,8,0,0,24,0,0,0,8,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,8,59,0
AP,Ego,30 m,0,0,0,0,4,0,0,0,0,42,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,25,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,60,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
AP,Mabuti,20 m,0,0,0,0,20,0,0,7,0,120,7,0,0,0,13,0,0,0,8,0,12,8,0,0,8,0,0,0,0,0,16,0,0,8,0,0,0,0,0,0,0,8,8,0,10,0,0,7,0,0,16,0,0,0,13,0,0,0,0,0,0,0,0,0,0,8,0,0,7,7,8,8,0,0,0,0,0,131,0,0,0,0,160,0,0,0,0,0,0,0,0,59,35,0,16,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,7,11,0,8,0,0,0,0,0,0,8,0,10,0,8,14,11,0,0,0,0,0,0,20,0,0,0,8,0,0,8,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,100,120,0,0,160,20,0,0,0,0,64,160,600,8,0,0,0,0,0,8,0,0,8,0,7,0,0,0,0,0,12,0,0,7,0,20,0,0,0,0,0,0,0,0,0,11,16,0
